,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,time,failure counter
gene_264,-231.75788496256243,-223.73377982260052,-8.024105139961904,0:00:17.844345,0
gene_265,-3211.2380265824418,-81085.09182109269,77873.85379451024,0:00:02.166978,0
gene_266,-241.9562338877003,-289.50336727761163,47.54713338991132,0:00:03.612630,0
gene_267,-2279.028454035892,-34833.02266754609,32553.994213510196,0:00:02.909975,0
gene_268,-173.86514661897095,-179.22067794378836,5.355531324817406,0:00:07.639566,0
gene_269,-786.4467710141527,-19994.824041943084,19208.37727092893,0:00:03.073265,0
gene_270,-156.99456025360604,-156.06670063661068,-0.927859616995363,0:00:19.364053,0
gene_271,-10545.569931966771,-32860.72043241579,22315.150500449017,0:00:02.933117,0
gene_272,-256.5950810233418,-267.75034940547874,11.155268382136967,0:00:04.734555,0
gene_273,-8846.857240423662,-34439.43129864247,25592.57405821881,0:00:03.188930,0
gene_274,-228.92756012401642,-220.38828526990966,-8.539274854106765,0:00:19.323250,0
gene_275,-4483.572980445168,-22884.239312151538,18400.666331706372,0:00:02.081408,0
gene_276,-206.64970537340434,-176.11427675130525,-30.53542862209909,0:00:47.664963,0
gene_277,-7187.4114007680355,-46450.5666164235,39263.15521565547,0:00:08.866799,0
gene_278,-442.9833605799886,-508.69187953902616,65.70851895903758,0:00:07.819365,0
gene_279,-5563.730942003402,-39077.605388412994,33513.874446409594,0:00:02.805664,0
gene_280,-193.50466862234492,-194.7831114904834,1.2784428681384838,0:00:03.919461,0
gene_281,-7225.880503064895,-61750.62769873169,54524.747195666794,0:00:02.561008,0
gene_282,-170.63678324966088,-185.5951976449141,14.958414395253214,0:00:08.453896,0
gene_283,-19465.008771223176,-48457.94907500315,28992.94030377997,0:00:01.769985,0
gene_284,-259.84611061538453,-371.09470386713576,111.24859325175123,0:00:07.166642,0
gene_285,-22544.156864953333,-59336.28607460211,36792.129209648774,0:00:01.561447,0
gene_286,-409734.0110677783,-375.42626794047146,-409358.5847998378,0:00:39.884593,0
gene_287,-8918.47001588808,-36264.704750915014,27346.234735026934,0:00:02.521729,0
gene_288,-288.12690273576845,-281.7631661570447,-6.363736578723774,0:00:54.802961,0
gene_289,-2831.7443559054755,-6576.819666867953,3745.0753109624775,0:00:01.924513,0
gene_290,-108.53478210957643,-110.74921804202172,2.214435932445298,0:00:03.876828,0
gene_291,-23150.59951584029,-54720.432840832975,31569.833324992684,0:00:10.710446,0
gene_292,-453.6435103789352,-570.4689443846113,116.82543400567607,0:00:03.843063,0
gene_293,-8666.085714787101,-39747.61205347092,31081.52633868382,0:00:10.303583,0
gene_294,-254.31407572359083,-266.35219090442985,12.038115180839014,0:00:03.586396,0
gene_295,-5311.547932985062,-50177.429071048165,44865.8811380631,0:00:02.953253,0
gene_296,-223.31569985642366,-244.1176151267717,20.801915270348047,0:00:09.034434,0
gene_297,-1292.7864435080426,-20033.421321020494,18740.634877512453,0:00:02.877141,0
gene_298,-150.06226534029827,-152.88339615907293,2.8211308187746624,0:00:04.093142,0
gene_299,-3139.954267779983,-9136.180516775798,5996.226248995814,0:00:02.914638,0
gene_300,-144.97525179816338,-153.29809383657505,8.322842038411665,0:00:04.472400,0
gene_301,-11791.32443851768,-58028.213282718774,46236.888844201094,0:00:02.240100,0
gene_302,-322.7171994613785,-386.4975462752063,63.78034681382775,0:00:07.424601,0
gene_303,-5099.387831061499,-25318.51013920698,20219.12230814548,0:00:02.194704,0
gene_304,-212.28772366047951,-230.77527982889941,18.4875561684199,0:00:09.075664,0
gene_305,-3401.3258140404487,-21613.528471801146,18212.202657760696,0:00:02.656115,0
gene_306,-166.60265121665702,-158.53376428772063,-8.068886928936394,0:00:16.084050,0
gene_307,-848.9724986254914,-21649.660775538003,20800.68827691251,0:00:02.694025,0
gene_308,-217.38410014873875,-215.81279018944613,-1.5713099592926199,0:00:04.289104,0
gene_309,-28684.893441460954,-67204.17947486619,38519.28603340524,0:00:03.092569,0
gene_310,-299.79874575762324,-319.79384235268196,19.995096595058726,0:00:07.126878,0
gene_311,-21515.072804295673,-44841.83013628128,23326.757331985606,0:00:02.311900,0
gene_312,-292.0263455545139,-358.1405320179886,66.11418646347471,0:00:07.490661,0
gene_313,-34651.296460963,-111319.07334496282,76667.77688399982,0:00:09.839353,0
gene_314,-641.2166061271131,-845.4990970132563,204.28249088614325,0:00:06.204087,0
gene_315,-14896.093956387922,-47525.95906173505,32629.865105347126,0:00:01.564735,0
gene_316,-352.4662591902761,-430.15649608411036,77.69023689383425,0:00:03.416915,0
gene_317,-9895.301267432686,-30229.363241427047,20334.06197399436,0:00:02.522860,0
gene_318,-267.4908919859018,-306.5680571083597,39.07716512245793,0:00:15.609867,0
gene_319,-39257.143814689916,-209290.71210589845,170033.56829120853,0:00:13.519519,0
gene_320,-1456.9661494974582,-1832.459237274551,375.4930877770928,0:00:04.217818,0
gene_321,-2813.9973224740065,-107480.35277401964,104666.35545154563,0:00:09.821495,0
gene_322,-512.9981134445409,-692.3802438540765,179.38213040953565,0:00:08.540268,0
gene_323,-2200.820655617361,-63425.53910847676,61224.7184528594,0:00:09.805561,0
gene_324,-363.9567275883409,-469.4197219898534,105.46299440151245,0:00:07.660939,0
