,Shared_log_likelihood,model_1_log_likelihood,model_2_log_likelihood,log_likelihood_ratio
SPAC2F7.05c,-273.69657853753915,-140.22518186580692,-140.77148616143424,-7.300089489701975
SPAC2F7.06c,-106.33840061230156,-51.45653814931407,-60.07884199890372,-5.1969795359162285
SPAC2F7.07c,-205.36230382795296,-106.83365333963016,-97.76812182356751,0.7605286647553271
SPAC2F7.08c,-193.27348501071683,-94.97980023540028,-98.15057538992819,0.1431093853883283
SPAC2F7.09c,-195.1356792098523,-100.18546677827854,-99.97498416020107,-5.024771728627343
SPAC2F7.10,-203.233139854008,-102.93733473246648,-103.44273009734466,-3.1469249758031315
SPAC2F7.11,-223.2296228417345,-117.7464259984976,-108.39842133076606,-2.9152244875291164
SPAC2F7.14c,-205.04675630623265,-106.68517566159143,-103.48374771465349,-5.122167070012266
SPAC2F7.16c,-215.37464422683945,-111.5252501402526,-108.79612877513772,-4.946734688550919
SPAC2F7.17,-190.11047969867175,-100.44257927987536,-101.03506137313929,-11.367160954342834
SPAC13A11.02c,-267.7389316187552,-138.05654900659968,-133.73661821610648,-4.0542356039509855
SPNCRNA.155,-51.30235225229482,-27.266789272670607,-23.901291337443013,0.13427164218120424
SPNCRNA.662,-107.07153347901259,-57.10761753488711,-48.21311658431817,1.7507993598073313
SPAC13A11.06,-148.91945697845443,-76.45633859834102,-76.945148624965,-4.482030244851586
SPAC3H8.05c,-210.9400653709074,-107.07650645352531,-108.8318643195377,-4.968305402155579
SPNCRNA.664,-120.60012605770737,-60.41740685292545,-59.298702730047275,0.8840164747346364
SPNCRNA.665,-70.29549996124754,-37.60659701539649,-34.6654501014318,-1.9765471555807463
SPAC3H8.06,-216.1330601678461,-105.7176812255176,-113.6235322924207,-3.2081533500922323
SPAC3H8.07c,-187.534631546564,-95.16067309304549,-97.38381146186704,-5.0098530083485
SPNCRNA.666,-171.69830070659788,-89.94421930254738,-85.43543516028195,-3.6813537562314314
SPAC3H8.09c,-218.3452010156809,-113.67559621716828,-115.186335648746,-10.516730850233357
SPAC1F3.07c,-183.5277585047224,-96.76318290594851,-87.79076997794516,-1.0261943791713009
SPNCRNA.668,-163.2360468944716,-83.62883884200535,-83.1372233356521,-3.5300152831858327
SPAC1F3.09,-270.719296217153,-137.35321514413567,-137.9620460306037,-4.595964957586318
SPNCRNA.669,-167.95723678067205,-91.20604583370249,-90.0330825594586,-13.281891612489035
SPAC1F3.10c,-181.2496251573877,-91.08285970627756,-95.54065807064886,-5.373892619538708
SPAC1D4.04,-256.2711431212841,-132.04565702038607,-129.91620032964872,-5.690714228750721
SPAC1D4.06c,-177.97630055447345,-89.66265726203697,-90.3371123152918,-2.023469022855295
SPAC1D4.08,-210.0987768755502,-107.69105349678732,-108.0187170200529,-5.610993641290065
SPAC1D4.09c,-185.92194162689296,-99.50800013124615,-85.59294807404791,0.8209934215988994
SPAC1D4.11c,-228.590264929534,-118.18066864029468,-114.79885976814856,-4.3892634789092435
SPNCRNA.672,-166.61697453176288,-84.78304462770078,-85.8497200292411,-4.015790125178995
SPNCRNA.673,-79.89032867044635,-42.79215387661171,-37.07120466014405,0.026970133690596757
SPAC1D4.13,-216.9350431536017,-112.1592629254493,-109.60083156356147,-4.825051335409086
