gene,sv_genes_spatialde,LLR_gpcounts,LLR_spatialde,sv_genes_gpcounts,gene_sh,llr_gpcounts_shuffled,LLR_shuffled,sv_genes_gpcounts_shuffled,sv_genes_spatialde_shuffled,sv_genes_spark
Pcp4l1,,30.54599934,6.396204778,Pcp4l1,1700040L02Rik,0,0.003057209,Tubb2b,,Kcnj10
Tmem132b,,30.39002139,7.380809997,Tmem132b,1700040N02Rik,0,0.00096401,Ccnd1,,Diras1
Gm13889,,29.80714261,13.27382114,Gm13889,1700047M11Rik,0,0.081156381,Marcks,,Scd2
Egr1,,29.74715137,11.61427133,Egr1,1700048O20Rik,0.002503517,0.000964009,Sez6,,Hpcal4
Plp1,,29.68766619,12.10708744,Plp1,1700049G17Rik,0,0.021073094,Npy,,2310022B05Rik
Bpifb9a,,29.56733484,5.646662861,Bpifb9a,1700052K11Rik,0.621848163,1.444475823,Atf5,,Ccnd1
Eif1,,29.32119449,4.302249005,Eif1,1700052N19Rik,0,0.000964007,Lpar1,,Agap2
Gabra1,,29.15540991,19.15137482,Bgn,1700055N04Rik,1.79E-07,0.000964011,Cpe,,Apod
Bgn,,29.15398533,6.182490845,Gabra1,1700056E22Rik,0,0.128582948,Gpsm1,,Sep-04
Phgdh,,29.14487754,10.17614217,Phgdh,1700058G18Rik,0,0.02724561,Gng4,,Morf4l1
Hey2,,29.10309113,2.726955443,Hey2,1700065J18Rik,0,0.000964011,Ncdn,,Slc6a1
Aspa,,29.02818713,3.081796704,Aspa,1700066J24Rik,3.41E-05,0.00096401,Camk2b,,Nid1
Prdx1,,28.95573622,11.2477034,Prdx1,1700066M21Rik,0,0.000964013,Timp3,,Arrb1
Stxbp1,,28.78911329,4.22354664,Stxbp1,1700067K01Rik,0.149297053,1.521990421,Sorbs1,,Sema7a
Gda,,28.59058772,7.018745866,Gda,1700067P10Rik,0.146671567,4.19070927,Frzb,,Klf16
Gad1,,28.58105242,0.982117389,Gad1,1700071M16Rik,0,0.00096401,Vtn,,Rcan2
Snap91,,28.46510754,4.330033515,Snap91,1700073E17Rik,0,0.00096401,Calm2,,Adipor1
Igfbp2,,28.25344609,16.80018005,Igfbp2,1700074H08Rik,3.14E-09,0.000964011,Cck,,Ahnak
Ppm1e,,28.2115876,3.64618224,Ppm1e,1700084C01Rik,0.001012381,0.024463284,Nr2f2,,S100a5
Agap2,,28.16020869,5.694129529,Agap2,1700084E18Rik,0.000997579,0.062459273,Nrgn,,Th
Psat1,,28.0361813,5.20022885,Psat1,1700086L19Rik,0.078251391,0.235179899,Glul,,Rragd
Cebpd,,27.99723022,5.130528418,Cebpd,1700086O06Rik,0,0.000964009,Mbp,,E030024N20Rik
Eno2,,27.96701929,6.765588606,Eno2,1700093K21Rik,0,0.00096401,Gng13,,Ppfia1
Sh3gl2,,27.92253574,9.503697806,Sh3gl2,1700094D03Rik,0.000812426,0.000964011,Pcp4,,Arhgap33
