gene_gpc,Dynamic_model_log_likelihood,Constant_model_log_likelihood,log_likelihood_ratio,p_value,q_value,g_sde,LLR_sde
1700067K01Rik,-24.22684191,-24.22669176,-0.000150151,1,1,Hlf,0.62181386
Shc3,-61.31288339,-61.31288321,-1.83E-07,1,1,Eif4a1,0.285859728
Parva,-154.1442027,-154.1502328,0.006030178,0.938103111,1,Atg4b,0.080170399
4930523C07Rik,-71.92623843,-71.92623726,-1.17E-06,1,1,Frmd7,0.041327798
Spo11,-24.14009099,-24.13993564,-0.000155353,1,1,Snx25,0.047619095
Gpr133,-63.76488308,-63.76723,0.002346916,0.96136161,1,Cldn25,0.356577061
Cped1,-53.23476483,-53.32593797,0.09117314,0.762691016,1,Arfrp1,0.426085846
Rpl3l,-19.37094342,-19.37095002,6.61E-06,0.997949243,1,Mtss1l,0.128081871
Ksr2,-17.6382007,-17.63820048,-2.16E-07,1,1,Rilpl2,0.037131946
Catsperd,-45.95380944,-45.95380948,4.24E-08,0.999835655,1,Pea15a,0.011344564
Snora28,-27.60984397,-27.60984359,-3.83E-07,1,1,Acss2,0.059479477
Ccdc67,-21.80653967,-21.80653912,-5.56E-07,1,1,Nmb,0.001363588
Akap14,-20.2215356,-20.38653863,0.165003026,0.684591506,1,Dvl1,0.269939109
Hist1h2bl,-63.44708412,-63.44708093,-3.19E-06,1,1,D4Wsu53e,0.52254631
Tmco6,-42.37158741,-42.69937977,0.327792369,0.566961922,1,1700030K09Rik,0.005393087
Cxcl16,-39.92479298,-39.92428232,-0.000510651,1,1,Atg10,0.169999068
Lrat,-24.44793192,-24.44793192,-5.37E-09,1,1,Cab39,0.001236822
Vmn1r206,-51.05506492,-51.07155535,0.016490423,0.897820528,1,Acaa2,0.093180934
Igf2bp3,-103.9812401,-103.9812528,1.27E-05,0.997161002,1,Akr1a1,0.043397265
Nek11,-27.2220355,-27.23134808,0.009312581,0.923122111,1,Mapk4,0.043383039
Otop3,-18.80797096,-18.80797614,5.18E-06,0.998184365,1,Rpl8,0.18395548
Khdc3,-15.3257379,-15.325738,9.73E-08,0.99975111,1,Rps27a,0.037097254
Zfp607,-19.80250279,-19.80250734,4.56E-06,0.99829664,1,Cpt1a,0.701664031
Ripk2,-47.04636872,-47.04637277,4.05E-06,0.998394875,1,Lrrtm4,0.783060293
E530001F21Rik,-69.74761865,-69.74761865,-2.10E-09,1,1,Cbll1,0.035159956
4930488L21Rik,-13.87593587,-13.8759362,3.35E-07,0.999538374,1,Rab11fip4,0.94963951
Card6,-19.11735394,-19.11705206,-0.000301883,1,1,Psma4,0.109732143
Echdc3,-28.30346928,-28.34373074,0.04026146,0.840970238,1,Zfp213,0.743859319
Gpr26,-65.56935415,-65.57274128,0.003387129,0.953590081,1,Sdc2,0.978271588
Gtpbp10,-66.11543896,-66.84743509,0.731996136,0.392236927,1,Daxx,0.094981137
Gm6568,-17.94955072,-17.95112299,0.001572273,0.968370654,1,Desi1,0.3930219
Hrct1,-23.11287957,-23.11227157,-0.000608008,1,1,Herpud1,0.001598133
Stmn1-rs1,-45.46733005,-45.46686241,-0.000467643,1,1,9930021J03Rik,0.386684754
Gm5177,-34.71456596,-34.71407359,-0.000492365,1,1,Tmem91,0.902831499
Plod2,-133.7112626,-133.7112625,-6.53E-08,1,1,Efna5,0.691432349
Kbtbd12,-20.37270382,-20.37256857,-0.000135248,1,1,Pkd2,0.07333933
Zwilch,-35.01337883,-35.01337837,-4.60E-07,1,1,Ttc39c,0.01419621
Tmem54,-75.2875587,-75.54906975,0.261511043,0.609083944,1,Vcan,0.045977615
Aldh3b2,-50.07629733,-50.0762985,1.18E-06,0.999134205,1,Chmp2a,0.505973199
Gp9,-27.39032976,-27.39910455,0.008774794,0.925368229,1,Cpe,0.013223763
Znf41-ps,-42.17646536,-42.17646604,6.88E-07,0.999338107,1,Crot,0.000964011
Krt8,-23.42092572,-23.42036878,-0.000556945,1,1,Necab2,0.047389602
Ccdc159,-24.53488351,-24.53450836,-0.00037515,1,1,H3f3b,0.289280725
Tgm4,-103.1183168,-103.1429096,0.024592812,0.875385958,1,Hccs,0.060749136
4930513N10Rik,-12.97738662,-12.97738921,2.59E-06,0.998714746,1,Grm5,0.304086983
Ppp1r2-ps3,-53.22400651,-53.29566889,0.071662386,0.78893155,1,Zcchc17,0.007994902
Fam178b,-32.68531315,-32.68531301,-1.38E-07,1,1,Rab21,0.055167999
Mfap5,-42.1235289,-42.26842263,0.144893724,0.703463656,1,Hnrnpm,0.287407718
St6galnac2,-102.2220626,-102.2350529,0.012990325,0.909257528,1,Hsp90aa1,0.035953046
Exoc6,-104.3489654,-104.3778952,0.028929754,0.864941332,1,Fam214b,0.401195771
Lypd2,-19.19103953,-19.19088047,-0.000159062,1,1,Sall2,2.015625193
Prrg1,-140.613197,-140.6131961,-9.31E-07,1,1,Wscd1,2.172943512
Tmod1,-97.08568147,-97.11126436,0.025582888,0.872923206,1,Slc2a13,0.033010763
Prima1,-50.38541825,-50.38541806,-1.92E-07,1,1,1110032A03Rik,0.789259242
Mettl2,-68.51120176,-68.51120131,-4.54E-07,1,1,Fosb,0.064784653
Gpx7,-121.3614147,-121.4528494,0.09143477,0.762361006,1,Dcaf7,0.656643028
